ZNF398	922.7
ZNF440	925.7
ZBTB25	927
ZNF660	927.3
ZNF585B	927.7
ZNF596	930.3
KLF14	931.5
ZNF534	931.5
ISL2	931.7
ZNF763	932.3
ZNF99	934.3
ZNF132	935
ZNF623	935.7
ZNF138	936
PAX4	936
ANHX	936
GRHL3	936.3
ZFY	937
DNTTIP1	937.5
DBX1	937.7
ARID2	938.3
RFX7	939.3
ZNF345	939.3
THAP10	940.7
ARGFX	940.7
ZBTB49	941.5
ZNF844	942
FOXB2	942
SP140	943
ZNF230	943.7
MSGN1	943.7
THAP8	944.3
NR1H4	945.3
L3MBTL1	946.5
ASCL4	948.3
DBP	949
SPIC	950
ZNF587B	950
ZNF257	951
NKRF	951.3
LIN28A	951.5
MESP2	951.7
TBX10	953
ZNF439	953.3
MGA	953.3
TFDP3	954
ZBTB6	954.7
AHCTF1	955
ZNF605	955.3
ZNF780A	959
ZNF3	960.7
ZNF212	960.7
MYPOP	961.5
ZNF74	962.3
ZNF529	964
ZNF737	964
CENPA	964.5
CCDC17	965
ZNF425	965
ZNF432	966.3
ZNF846	967.3
ZNF780B	967.7
CENPB	968
ZNF487	968.3
ZNF253	968.3
ZNF680	969
TBX1	969
ZNF577	969.3
ZNF679	970
ZNF433	970.3
ZNF304	971
CDX1	971
ZNF799	971.3
PKNOX1	972
PIN1	972.5
ARID3C	974
SOX12	974.7
SP140L	975.5
HMG20B	975.7
ZNF526	975.7
BARX1	976.3
ZNF592	977.8
DPRX	979.3
GATAD2B	979.7
ZNF260	981
ZNF92	982.3
ZNF133	983.3
FOXH1	984
ZNF367	985.3
L3MBTL4	986
ZNF234	986.3
ZNF221	986.7
ZBTB32	988.7
HMGA1	990
LIN54	991
MXD3	992
ZBTB44	992.3
ZKSCAN4	995.3
ZNF629	996
HESX1	996.3
PAX9	996.7
NFX1	996.7
ZNF599	998.7
ZBTB5	998.7
ZNF236	999.3
ZNF347	999.7
ZBTB22	999.7
MYCL	1002
FOXJ1	1002
ZBED5	1003
TFAP4	1003
FOXD4L3	1003
REPIN1	1003
FOXI2	1004
LBX1	1004
ZNF594	1005
ZNF740	1005
ZNF43	1005
ZNF572	1006
ZNF200	1007
RHOXF1	1007
CARF	1007
ZNF445	1007
MSANTD1	1008
ZNF664	1008
IRF7	1008
ZNF44	1008
TGIF2LX	1011
ETV2	1011
ZNF16	1012
ZNF426	1012
NKX12	1014
ZNF706	1014
NFYC	1014
ZNF431	1015
ZNF554	1015
DNMT1	1016
ZNF561	1016
ZBTB48	1018
ZNF284	1019
NR1I3	1020
NME2	1020
CHCHD3	1021
SETDB2	1021
KLF16	1022
ZNF559	1022
ELF2	1023
ZBTB40	1023
CPXCR1	1024
ZSCAN2	1025
FBXL19	1026
ZNF611	1026
ZNF560	1027
LHX3	1028
ADNP2	1028
NR2C1	1029
ZFP41	1029
ETV7	1030
HSFY1	1031
ZNF581	1031
ZNF182	1031
ZNF562	1032
ANKZF1	1032
BBX	1032
ZNF296	1034
JRKL	1036
ZNF480	1036
ASCL2	1036
DOT1L	1036
ZSCAN32	1037
ZNF233	1039
ZNF75A	1039
ZNF524	1040
BARX2	1040
GBX1	1041
SOX15	1041
ZNF20	1042
ZFP69	1042
KCMF1	1042
ZNF320	1044
ZNF408	1046
ZNF2	1046
ZNF19	1046
FIZ1	1046
ZNF555	1047
MBD3	1048
ZNF10	1048
SON	1049
IKZF3	1051
BSX	1052
ZNF764	1052
TCF20	1053
ZNF490	1056
ZNF280C	1056
IRF5	1057
ZNF211	1058
ZNF677	1060
HSFX1	1061
ZNF222	1062
NPAS1	1062
ZNF479	1063
ZNF492	1063
ZNF546	1064
POU5F2	1065
ZFP62	1065
ZSCAN20	1065
ZNF571	1068
FAM170A	1068
ZNF576	1070
EVX1	1072
ZNF736	1072
ZNF12	1072
ZNF69	1072
PRDM12	1072
ZNF33A	1073
DMRTB1	1075
ATMIN	1076
ZNF544	1076
TBX6	1076
FOXO6	1076
ZNF14	1077
RFX1	1077
NOTO	1078
HOXC13	1078
ZNF496	1079
ZNF761	1079
ZNF768	1079
ZSCAN31	1080
ZNF563	1081
ZNF678	1081
ZNF66	1082
NR6A1	1083
ZNF335	1086
ZC3H8	1087
THAP4	1088
ZNF823	1088
ZNF410	1089
HELT	1089
ZNF124	1089
ZNF791	1090
ALX3	1091
ZNF514	1092
PRDM13	1093
THAP6	1093
ZNF771	1094
ZNF579	1094
BHLHA15	1094
ZNF37A	1095
CDX4	1096
ERF	1096
ZNF169	1098
ZNF79	1099
ZNF215	1100
PITX1	1100
ZNF716	1100
SNAPC4	1101
ZNF891	1102
ZNF292	1102
PRDM10	1102
ZNF235	1103
ZNF681	1104
ZNF773	1104
ZNF653	1105
ZNF7	1105
ZNF721	1105
TLX1	1105
ZBTB17	1106
ZNF747	1106
PLAGL2	1106
SKOR2	1107
ZNF280B	1108
ZNF765	1109
ZNF850	1111
ZNF684	1113
TIGD5	1113
MLXIPL	1114
ZNF875	1115
RAX2	1115
ZNF770	1116
ZNF283	1116
ZNF160	1117
E4F1	1118
MYNN	1118
ZNF195	1119
GTF3A	1120
ZSCAN4	1120
PATZ1	1120
KDM2B	1121
ZNF273	1122
FOXP4	1122
ZNF107	1123
BATF2	1124
ZNF527	1126
ZNF140	1126
TERB1	1131
PRMT3	1132
FIGLA	1133
RHOXF2B	1133
ZNF619	1133
INSM2	1134
ZNF136	1134
ZNF705D	1136
ZFPM1	1136
ZNF385C	1137
CENPBD1	1139
ZBED4	1139
NOBOX	1139
ZNF691	1140
ZNF687	1140
ASCL5	1143
ZNF776	1143
KLF17	1144
ZIM2	1147
ZNF557	1147
ZKSCAN5	1147
ZFP91	1148
ZNF728	1149
ZNF787	1150
TBX22	1151
ZNF141	1153
ZNF232	1153
ZNF688	1156
SCX	1156
HOMEZ	1157
ZNF48	1157
ZNF57	1160
ZNF256	1161
ZNF607	1162
THAP5	1163
ZNF613	1164
MTERF4	1165
ZNF609	1165
ZNF783	1166
SRCAP	1166
ZNF224	1166
ZSCAN12	1168
ZNF416	1168
PROX2	1168
ZNF790	1168
ZNF239	1169
ZGPAT	1172
CBLL2	1172
HMX3	1175
ZNF517	1176
ZNF550	1177
ZIM3	1180
ZBTB3	1180
ZNF174	1182
DMRTC2	1183
ZUP1	1183
ZNF672	1184
FOXN4	1184
ZNF26	1185
ZNF77	1186
GMEB1	1186
ZNF419	1187
ZNF518A	1189
ZNF674	1189
SEBOX	1189
THAP12	1190
ZBTB7B	1191
ONECUT3	1191
ZNF451	1192
ZNF324	1193
PCGF6	1195
GATAD2A	1195
ZNF551	1196
ESX1	1199
AKAP8L	1199
FOXA3	1202
HSF4	1202
MIXL1	1203
ZNF879	1204
RBAK	1205
MZF1	1205
ZNF468	1206
FOXN1	1210
ARHGAP35	1211
NKX11	1213
SLC2A4RG	1214
ZNF93	1214
WIZ	1214
MBD6	1215
ATF6B	1215
SOX30	1215
E2F8	1217
ZNF121	1218
ZNF512B	1218
KIN	1219
ZNF786	1221
ZNF598	1226
ZSCAN22	1226
ZNF326	1228
NANOGNB	1230
ZNF646	1230
ZNF830	1232
DR1	1234
ZNF707	1237
ZNF696	1237
ZNF277	1238
ZNF302	1238
ZKSCAN7	1240
ZBTB42	1240
DRAP1	1240
ZNF813	1241
ZBTB39	1241
ZNF580	1242
ZNF155	1243
ZNF417	1243
ZNF430	1244
ZNF616	1245
ZNF446	1246
GSC2	1250
ZNF28	1252
ZNF76	1253
ZNF620	1256
ZNF705A	1258
ZNF316	1260
ZNF587	1261
SNAPC5	1269
ZNF705G	1269
HSF5	1269
TPRX1	1271
ZNF131	1271
MBD1	1271
ZNF705B	1273
ZNF829	1275
ZNF689	1275
NKX24	1275
CENPT	1276
YBX1	1277
ZNF90	1280
PREB	1281
ZSCAN5B	1281
THAP3	1283
ZNF865	1283
YBX2	1283
ZNF225	1285
ZNF614	1286
ZNF692	1287
ZNF570	1288
CHAMP1	1289
ZNF530	1290
SAFB2	1295
MTERF3	1297
ZNF724	1297
TBPL1	1300
TGIF2LY	1302
GTF2I	1304
GLI4	1305
OVOL3	1305
ZNF205	1307
ZBTB45	1307
